date,model,is_sft,is_best,task,dataset_variant,num_samples,num_keypoints,oks_score,oks_confidence_weighted,f1_score,precision,recall,mae_total,mae_x,mae_y,euclidean_distance,pck_50,pck_100,pck_150,per_keypoint_accuracy,left_right_confusion,exact_match,error_detection_acc,accuracy,parse_rate,correct_count,timestamp,result_file,json_path
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step2250,True,False,task3b,mixed_v3,4399,25,0.107564,,0.950431,0.955060,0.949457,333.360229,,,,,,,,0.004823,,1.000000,,,,20260213_174924,task3b_mixed_v3_test_step2250_20260213_174924,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v3_test_step2250_20260213_174924.json
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step3375,True,False,task3b,mixed_v3,4399,25,0.115112,,0.993929,0.993239,0.995166,325.798589,,,,,,,,0.000159,,1.000000,,,,20260213_181506,task3b_mixed_v3_test_step3375_20260213_181506,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v3_test_step3375_20260213_181506.json
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step4500,True,True,task3b,mixed_v3,4399,25,0.116810,,0.994848,0.994211,0.995932,319.882011,,,,,,,,0.000216,,1.000000,,,,20260213_182014,task3b_mixed_v3_test_step4500_20260213_182014,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v3_test_step4500_20260213_182014.json
2026-02-16,qwen3-vl-4b-4epochs-mixed-v4-weighted-step1125,True,True,task3b,mixed_v4_weighted,4399,25,0.103960,,0.840058,0.835876,0.848611,320.726461,,,,,,,,0.014222,,1.000000,,,,20260216_140503,task3b_mixed_v4_weighted_test_step1125_20260216_140503,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_mixed_v4_weighted_test_step1125_20260216_140503.json
2026-01-15,gemini-3-pro-preview,False,True,task3b,v1_high_missing,100,25,,,0.694428,0.917865,0.591595,,,,,,,,,0.000000,,1.000000,,,,20260115_210858,task3b_v1_high_missing_test100_gemini3_20260115_210858,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_high_missing_test100_gemini3_20260115_210858.json
2026-01-15,gemini-3-pro-preview,False,False,task3b,v1_low_missing,100,25,,,0.685443,0.820988,0.624167,26.403512,,,,,,,,0.000000,,1.000000,,,,20260115_210858,task3b_v1_low_missing_test100_gemini3_20260115_210858,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test100_gemini3_20260115_210858.json
2026-01-21,qwen3-vl-4b-4epochs-task3b-low-missing-step377,True,False,task3b,v1_low_missing,4399,25,0.201790,,0.656624,0.646185,0.671549,177.066967,,,,,,,,0.047522,,1.000000,,,,20260121_180951,task3b_v1_low_missing_test_step377_20260121_180951,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test_step377_20260121_180951.json
2026-01-21,qwen3-vl-4b-4epochs-task3b-low-missing-step754,True,False,task3b,v1_low_missing,4399,25,0.257216,,0.750353,0.748737,0.756251,162.230062,,,,,,,,0.031276,,1.000000,,,,20260121_223854,task3b_v1_low_missing_test_step754_20260121_223854,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test_step754_20260121_223854.json
2026-01-21,qwen3-vl-4b-4epochs-task3b-low-missing-step1131,True,True,task3b,v1_low_missing,4399,25,0.254710,,0.769739,0.785878,0.759975,153.674225,,,,,,,,0.025347,,1.000000,,,,20260121_223639,task3b_v1_low_missing_test_step1131_20260121_223639,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test_step1131_20260121_223639.json
2026-01-23,4b_4epochs_task3b_low_missing-step1352,True,False,task3b,v1_low_missing,4399,25,0.254386,,0.747445,0.757580,0.742483,148.322479,,,,,,,,0.028845,,1.000000,,,,20260123_145328,task3b_v1_low_missing_test_step1352_new_20260123_145328,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test_step1352_new_20260123_145328.json
2026-01-22,qwen3-vl-4b-4epochs-task3b-low-missing-step1504,True,False,task3b,v1_low_missing,4399,25,0.253209,,0.769440,0.778348,0.765232,155.697258,,,,,,,,0.026586,,1.000000,,,,20260122_095555,task3b_v1_low_missing_test_step1504_20260122_095555,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test_step1504_20260122_095555.json
2026-01-08,qwen3-vl-4b-instruct,False,False,task3b,v1_low_missing,1200,25,0.083810,,0.408365,0.272477,0.865579,303.515141,,,,,,,,0.028214,,1.000000,,,,20260108_135056,task3b_v1_low_missing_test_4b_20260108_135056,/mnt/data/sgsilva/vlm-evaluation/results/final/task3b_v1_low_missing_test_4b_20260108_135056.json
2026-02-18,qwen3-vl-4b-instruct,False,True,task3c,baseline_mixed_final,4399,25,0.116351,,0.054610,0.056051,0.060442,243.233219,,,,,,,,0.082157,,0.756990,,,,20260218_180758,task3c_baseline_mixed_final_20260218_180758,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_baseline_mixed_final_20260218_180758.json
2026-02-18,qwen3-vl-4b-4epochs-mixed-final-a-step1125,True,False,task3c,mixed_final_a,4399,25,0.081176,,0.350239,0.577177,0.285008,389.391227,,,,,,,,0.040636,,0.756990,,,,20260218_180619,task3c_mixed_final_a_test_step1125_20260218_180619,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_final_a_test_step1125_20260218_180619.json
2026-02-19,qwen3-vl-4b-4epochs-mixed-final-a-step2250,True,True,task3c,mixed_final_a,4399,25,0.082800,,0.423536,0.692430,0.346480,382.029501,,,,,,,,0.039530,,0.756990,,,,20260219_102428,task3c_mixed_final_a_test_step2250_20260219_102428,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_final_a_test_step2250_20260219_102428.json
2026-02-19,qwen3-vl-4b-4epochs-mixed-final-a-step4500,True,False,task3c,mixed_final_a,4399,25,0.101447,,0.398628,0.648784,0.327203,351.784715,,,,,,,,0.041827,,0.756990,,,,20260219_131242,task3c_mixed_final_a_test_step4500_20260219_131242,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_final_a_test_step4500_20260219_131242.json
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step1125,True,False,task3c,mixed_v3,4399,25,0.104196,,0.930641,0.930650,0.930634,322.377341,,,,,,,,0.010912,,1.000000,,,,20260213_163322,task3c_mixed_v3_test_step1125_20260213_163322,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_v3_test_step1125_20260213_163322.json
2026-02-13,qwen3-vl-4b-4epochs-mixed-v3-step2250,True,False,task3c,mixed_v3,4399,25,0.102273,,0.973740,0.973755,0.973728,336.861323,,,,,,,,0.003053,,1.000000,,,,20260213_174924,task3c_mixed_v3_test_step2250_20260213_174924,/mnt/data/sgsilva/vlm-evaluation/results/final/task3c_mixed_v3_test_step2250_20260213_174924.json
